Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Journal Square,"719,345","27,349","14,526","10,782","16,428","23,205","601,684","58,106","43,127","16,428",7,2019
Grove Street,"561,961","21,886","9,943","7,338","11,355","18,128","481,485","39,771","29,350","11,355",7,2019
Exchange Place,"450,154","18,564","4,480","3,242","10,855","14,521","408,410","17,920","12,969","10,855",7,2019
Pavonia/ Newport,"486,191","19,220","8,058","5,917","7,441","15,684","422,849","32,233","23,668","7,441",7,2019
Hoboken,"752,028","31,087","8,507","6,688","7,339","24,259","683,909","34,027","26,753","7,339",7,2019
NEW JERSEY SUBTOTAL,"3,933,215","157,307","57,240","43,609","69,044","126,878","3,460,774","228,961","174,436","69,044",7,2019
Christopher Street,"142,947","5,176","3,522","2,867",0,"4,611","113,871","17,609","11,467",0,8,2019
9thStreet,"148,056","4,808","5,095","4,201",0,"4,776","105,776","25,475","16,805",0,8,2019
14thStreet,"246,189","8,965","6,075","4,645",0,"7,942","197,236","30,373","18,580",0,8,2019
23rdStreet,"244,425","9,558","4,034","3,493",0,"7,885","210,284","20,168","13,973",0,8,2019
33rdStreet,"957,643","35,816","20,350","16,984",0,"30,892","787,958","101,751","67,934",0,8,2019
UPTOWN SUBTOTAL,"1,739,260","64,323","39,076","32,190",0,"56,105","1,415,125","195,376","128,759",0,8,2019
WTC,"1,443,132","62,686","8,684","5,153",0,"46,553","1,379,099","43,422","20,611",0,8,2019
NEW YORK SUBTOTAL,"3,182,392","127,009","47,760","37,343",0,"102,658","2,794,224","238,798","149,370",0,8,2019
Newark,"721,550","29,348","9,476","7,128",0,"23,276","645,662","47,378","28,510",0,8,2019
Harrison,"228,355","9,023","3,997","2,467",0,"7,366","198,504","19,983","9,868",0,8,2019
Journal Square,"717,286","27,074","15,231","11,373",0,"23,138","595,638","76,157","45,491",0,8,2019
Grove Street,"569,712","21,941","11,101","7,876",0,"18,378","482,703","55,507","31,502",0,8,2019
Exchange Place,"432,473","17,856","4,998","3,665",0,"13,951","392,824","24,988","14,661",0,8,2019
Pavonia/ Newport,"484,498","18,976","8,498","6,134",0,"15,629","417,473","42,490","24,535",0,8,2019
Hoboken,"743,673","30,260","9,677","7,392",0,"23,989","665,721","48,385","29,567",0,8,2019
NEW JERSEY SUBTOTAL,"3,897,547","154,478","62,978","46,035",0,"125,727","3,398,525","314,888","184,134",0,8,2019
Christopher Street,"147,641","5,567","4,577","3,284","1,581","4,921","111,333","18,308","16,419","1,581",9,2019
9thStreet,"167,252","5,738","6,634","4,756","2,182","5,575","114,756","26,534","23,780","2,182",9,2019
14thStreet,"251,029","9,695","7,194","5,094","2,872","8,368","193,909","28,776","25,472","2,872",9,2019
23rdStreet,"245,367","10,325","4,755","3,515","2,268","8,179","206,503","19,021","17,575","2,268",9,2019
33rdStreet,"912,871","36,206","22,232","17,599","11,833","30,429","724,117","88,926","87,995","11,833",9,2019
UPTOWN SUBTOTAL,"1,724,160","67,531","45,392","34,248","20,736","57,472","1,350,618","181,565","171,241","20,736",9,2019
WTC,"1,390,226","66,577","3,488","6,268","13,400","46,341","1,331,534","13,950","31,342","13,400",9,2019
NEW YORK SUBTOTAL,"3,114,386","134,108","48,880","40,516","34,136","103,813","2,682,152","195,515","202,583","34,136",9,2019
Newark,"720,616","31,976","9,073","7,353","8,027","24,021","639,530","36,292","36,767","8,027",9,2019
Harrison,"226,328","9,754","3,474","3,077","1,955","7,544","195,090","13,898","15,385","1,955",9,2019
Journal Square,"724,999","29,541","16,058","11,932","10,293","24,167","590,816","64,232","59,658","10,293",9,2019
Grove Street,"566,317","23,338","12,448","8,701","6,259","18,877","466,760","49,793","43,505","6,259",9,2019
Exchange Place,"414,785","18,658","4,948","3,741","3,123","13,826","373,164","19,792","18,706","3,123",9,2019
Pavonia/ Newport,"474,542","20,037","8,940","6,552","5,276","15,818","400,744","35,761","32,761","5,276",9,2019
Hoboken,"718,254","31,106","12,100","8,459","5,436","23,942","622,124","48,400","42,294","5,436",9,2019
NEW JERSEY SUBTOTAL,"3,845,841","164,410","67,041","49,815","40,369","128,195","3,288,228","268,168","249,076","40,369",9,2019
